Name,ID
Nippon India Banking and PSU  Fund- Direct Plan-Growth Plan- Growth Option,134547
NIPPON INDIA BANKING and PSU FUND - Direct Plan - MONTHLY IDCW Option,134550
NIPPON INDIA BANKING and PSU FUND - Direct Plan - QUARTERLY IDCW Option,134556
NIPPON INDIA BANKING and PSU FUND - Direct Plan - WEEKLY IDCW Option,134554
NIPPON INDIA BANKING and PSU FUND - IDCW Option,134548
NIPPON INDIA BANKING and PSU FUND - MONTHLY IDCW Option,134549
NIPPON INDIA BANKING and PSU FUND - QUARTERLY IDCW Option,134551
Nippon India Banking and PSU Fund- Direct Plan-Growth Plan- Bonus Option,134552
Nippon India Banking and PSU Fund- Growth Plan- Bonus Option,134546
Nippon India Banking and PSU Fund- Growth Plan- Growth Option,134545
SBI Banking & PSU Fund - Direct Plan - Daily Income Distribution cum Capital Withdrawal Option (IDCW),125502
SBI BANKING & PSU FUND - Direct Plan - Growth,125503
SBI Banking & PSU Fund - Direct Plan - Monthly Income Distribution cum Capital Withdrawal Option (IDCW),125505
SBI Banking & PSU Fund - Direct Plan - Weekly Income Distribution cum Capital Withdrawal Option (IDCW),125504
SBI BANKING & PSU FUND - Regular Paln - Growth,125498
SBI Banking & PSU Fund - Regular Plan - Daily Income Distribution cum Capital Withdrawal Option (IDCW),125499
SBI Banking & PSU Fund - Regular Plan - Monthly Income Distribution cum Capital Withdrawal Option (IDCW),125501
SBI Banking & PSU Fund - Regular Plan - Weekly Income Distribution cum Capital Withdrawal Option (IDCW),125500
Sundaram Banking & PSU Fund (Formerly Known as Sundaram Banking & PSU Debt Fund) - Direct Growth,134363
Sundaram Banking & PSU Fund (Formerly Known as Sundaram Banking & PSU Debt Fund) - Direct Monthly Dividend,134370
Sundaram Banking & PSU Fund (Formerly Known as Sundaram Banking & PSU Debt Fund) - Direct Quarterly Dividend,134369
Sundaram Banking & PSU Fund (Formerly Known as Sundaram Banking & PSU Debt Fund) - Regular Annual Bonus,134355
Sundaram Banking & PSU Fund (Formerly Known as Sundaram Banking & PSU Debt Fund) - Regular Daily Dividend Reinvestment,134358
Sundaram Banking & PSU Fund (Formerly Known as Sundaram Banking & PSU Debt Fund) - Regular Growth,134356
Sundaram Banking & PSU Fund (Formerly Known as Sundaram Banking & PSU Debt Fund) - Regular Monthly Dividend,134359
Sundaram Banking & PSU Fund (Formerly Known as Sundaram Banking & PSU Debt Fund) - Regular Quarterly Bonus,134361
Sundaram Banking & PSU Fund (Formerly Known as Sundaram Banking & PSU Debt Fund) - Regular Quarterly Dividend,134362
Sundaram Banking & PSU Fund (Formerly Known as Sundaram Banking & PSU Debt Fund) - Regular Weekly Dividend,134360
Sundaram Banking & PSU Fund (Formerly Known as Sundaram Banking and PSU Debt Fund) Direct Plan - Bonus,119629
Sundaram Banking & PSU Fund (Formerly Known as Sundaram Banking and PSU Debt Fund) Direct Plan - Daily Reinvestment of Income Distribution cum Capital Withdrawal (IDCW),119627
Sundaram Banking & PSU Fund (Formerly Known as Sundaram Banking and PSU Debt Fund) Direct Plan - Growth,119625
Sundaram Banking & PSU Fund (Formerly Known as Sundaram Banking and PSU Debt Fund) Direct Plan - Income Distribution cum Capital Withdrawal (IDCW),119626
Sundaram Banking & PSU Fund (Formerly Known as Sundaram Banking and PSU Debt Fund) Regular Plan - Bonus,118326
Sundaram Banking & PSU Fund (Formerly Known as Sundaram Banking and PSU Debt Fund) Regular Plan - Daily Reinvestment of Income Distribution cum Capital Withdrawal (IDCW),100782
Sundaram Banking & PSU Fund (Formerly Known as Sundaram Banking and PSU Debt Fund) Regular Plan - Growth,100784
Sundaram Banking & PSU Fund (Formerly Known as Sundaram Banking and PSU Debt Fund) Regular Plan - Income Distribution cum Capital Withdrawal (IDCW),100793
Sundaram Banking & PSU Fund (Formerly Known as Sundaram Banking and PSU Debt Fund) Regular Plan - Weekly Reinvestment of Income Distribution cum Capital Withdrawal (IDCW),100783
Sundaram Banking & PSU Fund (Formerly Known as Sundaram Banking and PSU Debt Fund) Retail Plan - Growth,100781
Sundaram Banking & PSU Fund (Formerly Known as Sundaram Banking and PSU Debt Fund) Retail Plan - Monthly Income Distribution cum Capital Withdrawal (IDCW),100780
TRUSTMF BANKING & PSU FUND - DIRECT GROWTH,148656
TRUSTMF BANKING & PSU FUND - REGULAR GROWTH,148655
TRUSTMF BANKING & PSU FUND DIRECT PLAN ANNUAL INCOME DISTRIBUTION CUM CAPITAL WITHDRAWAL OPTION,148672
TRUSTMF BANKING & PSU FUND DIRECT PLAN DAILY INCOME DISTRIBUTION CUM CAPITAL WITHDRAWAL,148678
TRUSTMF BANKING & PSU FUND DIRECT PLAN MONTHLY INCOME DISTRIBUTION CUM CAPITAL WITHDRAWAL OPTION,148681
TRUSTMF BANKING & PSU FUND DIRECT PLAN QUARTERLY INCOME DISTRIBUTION CUM CAPITAL WITHDRAWAL,148670
TRUSTMF BANKING & PSU FUND DIRECT PLAN WEEKLY INCOME DISTRIBUTION CUM CAPITAL WITHDRAWAL,148675
TRUSTMF BANKING & PSU FUND REGULAR PLAN ANNUAL INCOME DISTRIBUTION CUM CAPITAL WITHDRAWAL,148669
TRUSTMF BANKING & PSU FUND REGULAR PLAN DAILY INCOME DISTRIBUTION CUM CAPITAL WITHDRAWAL,148667
TRUSTMF BANKING & PSU FUND REGULAR PLAN MONTHLY INCOME DISTRIBUTION CUM CAPITAL WITHDRAWAL,148674
TRUSTMF BANKING & PSU FUND REGULAR PLAN QUARTERLY INCOME DISTRIBUTION CUM CAPITAL WITHDRAWAL,148668
TRUSTMF BANKING & PSU FUND REGULAR PLAN WEEKLY INCOME DISTRIBUTION CUM CAPITAL WITHDRAWAL,148679
UTI Banking & PSU Fund - Direct Plan - Annual IDCW,140135
UTI Banking & PSU Fund - Direct Plan - Flexi IDCW,133972
UTI Banking & PSU Fund - Direct Plan - Growth Option,126940
UTI Banking & PSU Fund - Direct Plan - Half-Yearly IDCW,141375
UTI Banking & PSU Fund - Direct Plan - Monthly IDCW,134026
UTI Banking & PSU Fund - Direct Plan - Quarterly IDCW,126942
UTI Banking & PSU Fund - Regular Plan - Annual IDCW,140116
UTI Banking & PSU Fund - Regular Plan - Flexi IDCW,133971
UTI Banking & PSU Fund - Regular Plan - Half-Yearly IDCW,139407
UTI Banking & PSU Fund - Regular Plan - Monthly IDCW,136110
UTI Banking & PSU Fund - Regular Plan - Quarterly IDCW,126941
UTI Banking & PSU Fund- Regular Plan - Growth Option,126939
Aditya Birla Sun Life Corporate Bond Fund - Growth - Direct Plan,119533
Aditya Birla Sun Life Corporate Bond Fund - Growth - Regular Plan,103178
Aditya Birla Sun Life Corporate Bond Fund -DIRECT - IDCW,124832
Aditya Birla Sun Life Corporate Bond Fund -DIRECT - MONTHLY IDCW,119532
Aditya Birla Sun Life Corporate Bond Fund -REGULAR - IDCW,124833
Aditya Birla Sun Life Corporate Bond Fund -REGULAR - MONTHLY IDCW,103183
Axis Corporate Bond Fund - Direct Plan - Daily IDCW,141586
Axis Corporate Bond Fund - Direct Plan - Monthly IDCW,141590
Axis Corporate Bond Fund - Direct Plan - Regular IDCW,141591
Axis Corporate Bond Fund - Direct Plan - Weekly IDCW,141587
Axis Corporate Bond Fund - Direct Plan Growth,141588
Axis Corporate Bond Fund - Regular Plan - Daily IDCW,141589
Axis Corporate Bond Fund - Regular Plan - Monthly IDCW,141594
Axis Corporate Bond Fund - Regular Plan - Regular IDCW,141595
Axis Corporate Bond Fund - Regular Plan - Weekly IDCW,141592
Axis Corporate Bond Fund - Regular Plan Growth,141593
BANDHAN Corporate Bond Fund - Direct Annual IDCW,139201
BANDHAN Corporate Bond Fund - Direct Growth,135916
BANDHAN Corporate Bond Fund - Direct Half Yearly IDCW,139200
BANDHAN Corporate Bond Fund - Direct Monthly IDCW,139198
